,character,kun,meaning,on
697,殖,ふ,Multiply,しょく
698,殿,との  どの,Milord,でん
699,茂,しげ,Luxuriant,も
700,誉,ほ,Honor,よ
701,嬉,うれ,Glad,き
702,俊,None,Genius,しゅん
703,駆,か,Gallop,く
704,頻,しき,Frequent,ひん
705,孝,None,Filial Piety,こう
706,雅,みや,Elegant,が
707,剤,None,Dose,ざい
708,堀,ほり,Ditch,くつ
709,薄,うす,Dilute,はく
710,兼,か,Concurrently,けん
711,戒,いまし,Commandment,かい
712,衝,つ,Collide,しょう
713,唱,とな,Chant,しょう
714,吹,ふ,Blow,すい
715,敏,None,Alert,びん
716,祉,None,Welfare,し
717,壁,かべ,Wall,へき
718,甲,か,Turtle Shell,こう  かん
719,鋼,はがね,Steel,こう
720,奪,うば,Rob,だつ
721,稲,いね  いな,Rice Plant,None
722,拒,こば,Refuse,きょ
723,勧,すす,Recommend,かん
724,圏,None,Range,けん
725,隆,None,Prosperity,りゅう
726,斐,None,Patterned,い
727,項,None,Paragraph,こう
728,片,かた,One Sided,へん
729,阜,None,Mound,ふ
730,謙,None,Modesty,けん
731,躍,おど,Leap,やく
732,慎,つつし,Humility,しん
733,御,お,Honorable,ご
734,邦,くに,Home Country,ほう
735,仙,None,Hermit,せん
736,銃,None,Gun,じゅう
737,枠,わく,Frame,None
738,群,む  むら,Flock,ぐん
739,免,まぬか,Excuse,めん
740,雇,やと,Employ,こ
741,譲,ゆず,Defer,じょう
742,棋,ご,Chess Piece,き
743,埼,さい,Cape,き
744,鈴,すず,Buzzer,りん
745,埋,う,Bury,まい
746,岐,None,Branch Off,き  ぎ
747,渋,しぶ,Bitter,じゅう
748,充,あ  み,Allocate,じゅう
749,控,ひか,Abstain,こう
750,盤,None,Tray,ばん
751,緒,お,Together,しょ
752,称,とな  たた  ほめ,Title,しょう
753,懸,か,Suspend,けん
754,抑,おさ,Suppress,よく
755,繰,く,Spin,そう
756,還,かえ,Send Back,かん
757,択,えら,Select,たく
758,贈,おく,Presents,ぞう
759,娠,None,Pregnant,しん
760,妊,None,Pregnant,にん
761,奏,かな,Play Music,そう
762,緩,ゆる,Loose,かん
763,傾,かたむ,Lean,けい
764,膝,ひざ,Knee,None
765,併,あわ,Join,へい
766,奥,おく,Interior,おう
767,扱,あつか,Handle,きゅう
768,逃,に  のが  の,Escape,とう
769,刊,None,Edition,かん
770,描,か  えが,Draw,びょう
771,避,さ  よ,Dodge,ひ
772,致,いた,Do,ち
773,需,None,Demand,じゅ
774,却,かえって,Contrary,きゃく
775,託,かこ,Consign,たく
776,慮,おもんぱく  おもんぱか,Consider,りょ
777,房,ふさ,Cluster,ぼう
778,賂,None,Bribe,ろ
779,賄,まかな,Bribe,わい
780,宜,よろ,Best Regards,ぎ
781,齢,よわい,Age,れい
782,伴,ともな,Accompany,はん
783,削,けず,Whittle Down,さく
784,跡,あと,Traces,せき
785,執,と,Tenacious,しゅう  しつ
786,闘,たたか,Struggle,とう
787,串,くし,Skewer,None
788,昭,None,Shining,しょう
789,戻,もど,Return,れい
790,抵,None,Resist,てい
791,償,つぐな,Reparation,しょう
792,募,つの,Recruit,ぼ
793,刑,None,Punish,けい
794,契,None,Pledge,けい
795,兆,きざ,Omen,ちょう
796,臨,のぞ,Look To,りん
797,聴,き,Listen,ちょう
798,旬,None,In Season,しゅん  じゅん
799,抱,だ  かか  いだ,Hug,ほう
800,跳,と  は,Hop,ちょう
801,湾,None,Gulf,わん
802,香,かお  か,Fragrance,こう  きょう
803,漁,あさ,Fishing,ぎょ  りょう
804,恵,めぐ,Favor,え  けい
805,眉,まゆ,Eyebrows,み
806,爆,は,Explode,ばく
807,掲,かか,Display,けい
808,遣,つか  や,Dispatch,けん
809,崩,くず,Crumble,ほう
810,抗,あらが,Confront,こう
811,葬,ほうむ,Burial,そう
812,弾,ひ  はず  たま,Bullet,だん
813,塁,None,Base,るい
814,陣,None,Army Base,じん
815,狙,ねら,Aim,そ
816,患,わずら,Afflicted,かん
817,幅,はば,Width,ふく
818,超,こ,Ultra,ちょう
819,頼,たの  たよ,Trust,らい
820,貿,None,Trade,ぼう
821,甘,あま,Sweet,かん
822,姓,None,Surname,せい  しょう
823,伸,の,Stretch,しん
824,踏,ふ,Step,とう
825,縄,なわ,Rope,じょう
826,依,よ,Reliant,い
827,及,およ,Reach,きゅう
828,摘,つ,Pluck,てき
829,沖,おき,Open Sea,ちゅう
830,献,たてまつ,Offer,けん  こん
831,廃,すた,Obsolete,はい
832,核,None,Nucleus,かく
833,奈,None,Nara,な
834,維,None,Maintain,い
835,遺,のこ,Leave Behind,い
836,継,つ,Inherit,けい
837,療,None,Heal,りょう
838,津,つ,Haven,しん
839,般,None,Generally,はん
840,旧,None,Former,きゅう
841,牙,きば,Fang,げ  が
842,換,か,Exchange,かん
843,鹿,か  しか,Deer,ろく
844,伎,わざ,Deed,き
845,債,None,Debt,さい
846,舞,まい  ま,Dance,ぶ
847,将,None,Commander,しょう
848,盟,None,Alliance,めい
849,諾,None,Agreement,だく
850,酢,す,Vinegar,さく
851,厄,None,Unlucky,やく
852,亀,かめ,Turtle,き
853,破,やぶ,Tear,は
854,剣,つるぎ,Sword,けん
855,滞,とどこお,Stagnate,たい
856,醤,None,Soy Sauce,しょう
857,汁,しる,Soup,じゅう
858,遅,おそ  おく,Slow,ち
859,恥,は  はじ,Shame,ち
860,為,ため  な  す,Sake,い
861,獄,None,Prison,ごく
862,鍋,なべ,Pot,か
863,払,はら,Pay,ふつ
864,己,おのれ,Oneself,こ  き
865,油,あぶら,Oil,ゆ
866,互,たが,Mutual,ご
867,測,はか,Measure,そく
868,寿,ことぶき,Lifespan,じゅ  す
